neighborhood,longitude,latitude,borough
Wakefield,-73.847200520549,40.89470517661,Bronx
Co-op City,-73.829939108124,40.8742941930301,Bronx
Eastchester,-73.8278064471641,40.8875556773508,Bronx
Fieldston,-73.9056425959168,40.8954374269038,Bronx
Riverdale,-73.9125854610857,40.8908344938913,Bronx
Kingsbridge,-73.902817987246,40.8816873712052,Bronx
Marble Hill,-73.9106596586298,40.8765507787996,Manhattan
Woodlawn,-73.8673149681418,40.8982726121381,Bronx
Norwood,-73.8793907395681,40.8772241559945,Bronx
Williamsbridge,-73.8574464297421,40.8810388781921,Bronx
Baychester,-73.8357975980812,40.8668581072527,Bronx
Pelham Parkway,-73.85475564018,40.8574134980887,Bronx
City Island,-73.7864884526741,40.8472467049181,Bronx
Bedford Park,-73.8855121841913,40.8701851649753,Bronx
University Heights,-73.9104159619131,40.8557270771966,Bronx
Morris Heights,-73.9196715911957,40.8478979260627,Bronx
Fordham,-73.8964265598162,40.8609967963865,Bronx
East Tremont,-73.8873561753234,40.8426961578605,Bronx
West Farms,-73.8777447491055,40.8394750567265,Bronx
High  Bridge,-73.9261020935813,40.8366230107061,Bronx
Melrose,-73.9094216075744,40.8197543705949,Bronx
Mott Haven,-73.9160998748758,40.8062387493518,Bronx
Port Morris,-73.9132213938614,40.8016636277562,Bronx
Longwood,-73.8957882009446,40.8150990454582,Bronx
Hunts Point,-73.8833150595529,40.8097298793871,Bronx
Morrisania,-73.9015064894306,40.8235919858553,Bronx
Soundview,-73.8657460955492,40.821012197914,Bronx
Clason Point,-73.8541441618927,40.8065511200359,Bronx
Throgs Neck,-73.8163500215844,40.8151092580401,Bronx
Country Club,-73.8240992675385,40.8442459369474,Bronx
Parkchester,-73.8560031053578,40.8379378222673,Bronx
Westchester Square,-73.8421940760444,40.8406194964327,Bronx
Van Nest,-73.8662991807561,40.8436084712472,Bronx
Morris Park,-73.8504017803042,40.8475490635363,Bronx
Belmont,-73.888451961348,40.857277100739,Bronx
Spuyten Duyvil,-73.9171904821039,40.8813949772709,Bronx
North Riverdale,-73.9045305490893,40.9085428295067,Bronx
Pelham Bay,-73.8320737824047,40.8506414094034,Bronx
Schuylerville,-73.8262027599407,40.8265795168692,Bronx
Edgewater Park,-73.8138851442862,40.8219861181635,Bronx
Castle Hill,-73.8480272958274,40.8190143769883,Bronx
Olinville,-73.8633236165278,40.8713707819237,Bronx
Pelham Gardens,-73.8416119483122,40.86296562478,Bronx
Concourse,-73.9155894177344,40.8342838073385,Bronx
Unionport,-73.8505352445194,40.8297742978716,Bronx
Edenwald,-73.8480827187717,40.8845613030373,Bronx
Bay Ridge,-74.0306206935381,40.6258010650107,Brooklyn
Bensonhurst,-73.9951799838073,40.6110089020204,Brooklyn
